代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
300087,荃银高科,13.92,3.43,0.987,3.18 亿,0.1317,0.0111
600756,浪潮软件,13.92,3.75,0.985,2.34 亿,0.1346,0.0306
600933,爱柯迪,13.91,3.92,0.987,2.81 亿,0.1401,0.0378
600633,浙数文化,13.91,3.93,0.989,10.04 亿,0.1593,0.0202
600152,维科技术,13.89,3.95,0.982,2.46 亿,0.1476,0.0314
300048,合康新能,13.88,3.23,0.952,2.72 亿,0.0912,0.0304
688180,君实生物,13.87,3.81,0.992,5.18 亿,0.1523,0.0206
002534,西子洁能,13.86,3.75,0.947,4.38 亿,0.144,0.0124
300072,海新能科,13.85,4.26,0.969,2.87 亿,0.1677,0.0302
600718,东软集团,13.82,3.1,0.989,3.11 亿,0.0982,0.0235
301095,广立微,13.81,4.78,0.972,6.27 亿,0.2019,0.0349
300909,汇创达,13.8,4.75,0.919,2.12 亿,0.1678,0.0484
300438,鹏辉能源,13.8,4.95,0.988,13.34 亿,0.234,0.0204
600973,宝胜股份,13.79,3.7,0.952,3.09 亿,0.1273,0.0279
300296,利亚德,13.78,3.66,0.963,13.43 亿,0.1305,0.0255
000815,美利云,13.78,4.22,0.982,13.49 亿,0.1615,0.0391
300699,光威复材,13.77,3.24,0.954,10.72 亿,0.0875,0.0369
300792,壹网壹创,13.76,4.59,0.959,7.64 亿,0.1856,0.0344
300725,药石科技,13.75,3.99,0.994,2.78 亿,0.1613,0.0271
601360,三六零,13.75,3.77,0.986,29.45 亿,0.1528,0.0178
000980,众泰汽车,13.74,5.2,0.99,3.27 亿,0.2294,0.0449
002218,拓日新能,13.73,3.82,0.95,18.25 亿,0.1251,0.0394
688065,凯赛生物,13.71,3.13,0.988,3.05 亿,0.1019,0.0236
600960,渤海汽车,13.69,4.43,0.953,2.14 亿,0.1638,0.0445
603927,中科软,13.69,3.0,0.986,2.23 亿,0.095,0.0211
688114,华大智造,13.68,4.63,0.985,2.68 亿,0.1916,0.0417
300747,锐科激光,13.67,3.71,0.977,6.00 亿,0.1576,0.0074
300258,精锻科技,13.66,4.39,0.981,4.47 亿,0.1827,0.0326
603188,亚邦股份,13.65,4.33,0.956,2.20 亿,0.1571,0.0461
300628,亿联网络,13.65,3.07,0.985,4.72 亿,0.0909,0.0307
002297,博云新材,13.64,3.71,0.929,7.89 亿,0.1253,0.0269
603123,翠微股份,13.64,4.79,0.977,4.26 亿,0.2143,0.029
603162,海通发展,13.63,3.43,0.973,3.38 亿,0.1063,0.0384
301026,浩通科技,13.62,4.36,0.954,4.91 亿,0.164,0.0415
002054,德美化工,13.61,3.47,0.928,6.35 亿,0.1214,0.0156
603260,合盛硅业,13.6,3.14,0.983,5.67 亿,0.1002,0.0267
688170,德龙激光,13.59,5.09,0.969,3.25 亿,0.2151,0.048
